pattern	0+	5+	10+	15+	20+	25+	30+	35+	40+	45+	50+	55+	60+
accomp_children---cbShop	1	0	0	0	0	0	0	0	0	0	0	0	0
accomp_children---home	0	2	0	0	1	0	0	0	0	0	0	0	1
accomp_children---leisure	0	0	0	0	0	0	0	0	0	0	0	0	1
accomp_children---work	0	0	0	0	0	0	0	0	1	0	0	0	1
cbShop---cbShop	4	0	0	1	1	0	0	0	0	0	0	0	0
cbShop---educ_other	0	0	1	1	0	0	0	0	0	0	0	0	0
cbShop---home	4	4	2	1	2	0	0	1	0	0	2	0	9
cbShop---leisure	1	2	0	0	0	0	0	0	0	0	0	0	1
cbShop---work	1	0	0	0	0	0	0	0	0	0	0	0	0
educ_other---cbShop	0	0	0	0	1	0	0	0	0	0	0	0	1
educ_other---educ_other	1	0	0	0	0	0	0	0	0	0	0	0	0
educ_other---home	1	0	1	3	4	0	0	0	0	0	0	0	0
educ_other---leisure	0	0	1	0	0	0	0	0	0	0	0	0	0
educ_other---pt interaction	1	0	0	1	0	0	0	0	0	0	0	0	0
home---accomp_children	1	2	1	0	1	0	0	0	0	0	0	0	2
home---cbShop	3	3	2	1	3	0	0	2	0	0	1	0	5
home---educ_other	0	1	1	4	4	0	0	1	1	0	0	0	0
home---leisure	7	8	3	0	0	2	1	0	0	0	1	0	7
home---pt interaction	2	8	6	2	3	0	0	0	0	0	0	1	0
home---work	5	0	1	0	0	0	0	1	0	0	0	0	17
leisure---cbShop	2	1	0	0	0	0	0	0	0	0	0	0	0
leisure---home	6	7	4	0	0	1	1	0	0	0	0	0	8
leisure---leisure	8	0	0	0	0	0	0	0	0	0	0	0	2
leisure---pt interaction	4	1	2	0	1	0	0	0	0	0	0	0	0
leisure---work	2	0	0	0	0	0	0	0	0	0	0	0	3
pt interaction---cbShop	1	1	1	0	0	0	0	0	0	0	0	0	0
pt interaction---leisure	1	1	0	0	0	0	0	0	0	0	0	0	0
pt interaction---pt interaction	11	0	0	0	1	0	0	0	0	0	1	1	18
pt interaction---work	2	0	2	0	0	0	0	0	0	0	0	0	0
work---accomp_children	0	0	1	0	0	0	0	0	0	0	0	0	0
work---cbShop	0	0	0	0	0	1	0	0	0	0	0	0	3
work---home	4	2	1	0	0	0	0	1	0	0	0	0	6
work---leisure	2	2	0	0	0	0	0	0	1	0	0	0	0
work---pt interaction	0	0	2	0	1	0	0	0	0	0	0	0	0

average trip duration: 7389.719594594595 seconds = 02:03:09
