pattern	0+	5+	10+	15+	20+	25+	30+	35+	40+	45+	50+	55+	60+
accomp_children---accomp_children	1	0	0	0	0	0	0	0	0	0	0	0	5
accomp_children---cbShop	5	0	1	1	0	0	0	1	0	0	0	0	3
accomp_children---home	9	11	5	6	3	1	2	0	1	0	0	1	10
accomp_children---leisure	0	2	0	1	2	0	0	0	0	1	0	0	7
accomp_children---work	2	1	0	0	1	0	0	0	0	0	0	0	5
cbShop---accomp_children	1	0	0	1	0	0	0	0	0	0	0	0	1
cbShop---cbShop	20	11	2	5	3	1	1	1	0	1	1	0	17
cbShop---educ_other	0	1	2	0	0	0	0	0	0	0	0	0	1
cbShop---home	80	49	37	17	15	10	9	5	1	5	6	1	74
cbShop---leisure	18	15	4	1	3	1	1	1	1	1	0	1	21
cbShop---pt interaction	3	1	0	1	0	1	0	0	0	0	0	0	0
cbShop---work	8	4	3	2	0	0	0	0	0	0	0	0	9
educ_other---cbShop	1	1	0	0	1	0	0	0	1	0	0	0	2
educ_other---educ_other	2	0	0	0	0	0	0	0	0	0	0	0	0
educ_other---home	28	26	14	16	10	2	0	3	3	0	3	0	28
educ_other---leisure	6	6	3	2	0	0	1	0	0	1	4	1	7
educ_other---pt interaction	4	1	1	0	3	0	0	0	0	0	0	0	0
educ_other---work	0	0	0	0	0	0	0	1	0	0	0	0	0
home---accomp_children	12	14	7	4	2	2	1	0	1	0	1	0	32
home---cbShop	80	51	30	19	17	8	11	7	2	5	6	4	112
home---educ_other	33	29	19	17	11	4	1	4	6	2	5	0	34
home---home	7	0	0	0	0	0	0	0	0	0	0	0	1
home---leisure	80	78	29	19	11	9	4	0	5	2	4	3	134
home---pt interaction	67	91	53	28	22	3	0	0	0	0	0	1	0
home---work	42	29	20	17	15	8	8	9	7	2	7	7	240
leisure---accomp_children	1	1	0	0	1	1	1	0	0	0	1	0	4
leisure---cbShop	14	12	9	2	2	2	0	0	0	1	1	0	16
leisure---educ_other	4	2	2	1	0	0	0	0	0	0	3	0	6
leisure---home	78	68	24	20	6	7	4	4	3	1	4	3	92
leisure---leisure	174	17	17	7	6	2	2	2	3	5	2	1	61
leisure---pt interaction	38	9	6	7	6	2	4	0	0	0	2	0	2
leisure---work	15	9	4	5	2	1	1	2	3	2	2	1	51
work---accomp_children	3	2	0	0	0	0	0	0	0	0	1	0	4
work---cbShop	12	10	4	6	1	1	1	0	0	0	0	1	27
work---home	33	25	14	13	12	9	4	10	7	3	6	5	102
work---leisure	15	9	1	2	6	0	0	0	0	2	1	0	38
work---pt interaction	3	3	2	1	2	1	0	0	1	0	0	0	0
work---work	8	0	1	0	0	1	1	0	0	1	1	0	34

average trip duration: 6852.913358369099 seconds = 01:54:12
